country,alpha,beta
Belgium,3.5473505970790096,0.49101445692265966
Spain,2.8175657970470294,0.4557143679660277
Denmark,2.625893982108855,0.46646034656744295
Germany,2.619753512882911,0.7114191487168692
Portugal,2.488840126680226,0.4553574273274128
England,2.4343854887030396,0.43654888935982394
Netherlands,2.2435560820243743,0.5924632934104119
France,2.110842857091235,0.4099918032737077
Italy,2.0619796647182476,0.30816099885654624
Switzerland,2.046803413943694,0.5812315683980079
Croatia,2.0442058420948865,0.7873847152940106
Russia,1.995884955137599,0.7865706678903666
Poland,1.9422235027152261,0.6708559152256037
Sweden,1.8698469356771485,0.6388599960768124
Czech Republic,1.8205542503195378,0.7717556070675916
Turkey,1.8198091963475824,0.7275458741724087
Austria,1.625632247488544,0.864072050933096
Hungary,1.5290607711419328,0.8389498616439198
Ukraine,1.4919716960861993,0.6644930528730197
Wales,1.459064381638687,0.5101053300271706
North Macedonia,1.458165803165497,1.0283609197300125
Finland,1.446508497404863,0.8388201190085179
Scotland,1.4291231816468724,0.8749477790364727
Slovakia,1.2311521167652038,0.896203867734426
